name, die
L184R,50
L185R,31
L186R,72
L187R,43
L188R,47
L189R,57
L190R,47
L191R,43
L192R,47
L193R,57
L194R,73
L195R,74
L196R,75
L197R,43
L198R,72
L199R,53
L200R,67
L201R,76
L202R,73
L203R,77
L204R,78
L205R,73
L206R,77
L207R,79
L208R,29
L209R,49
L210R,78
L211R,56
L212R,67
L213R,68
L214R,76
L215R,76
L216R,67
L217R,74
L218R,78
L219R,80
L220R,69
L221R,79
L222R,78
L223R,68
L224R,78
L225R,73
L226R,81
L227R,57
L228R,82
L229R,83
L230R,83
L231R,51
L232R,68
L233R,84
L234R,43
L235R,50
L236R,30
L237R,62
L238R,77
L239R,50
L240R,85
L241R,51
L242R,85
L243R,45
L244R,47
L245R,57
L246R,67
L247R,85
L248R,65
L249R,43
L250R,86
L251R,70
L252R,44
L253R,83
L254R,80
L255R,56
L256R,65
L257R,65
L258R,50
L259R,87
L260R,45
L261R,85
L262R,65
L263R,68
L264R,45
L265R,65
L266R,45
L267R,62
L268R,80
L269R,31
L270R,80
L271R,72
L272R,53
L273R,85
L274R,62
L275R,45
L276R,78
L277R,73
L278R,31
L279R,61
L280R,73
L281R,80
L282R,45
L283R,48
L284R,88
L285R,62
L286R,85
L287R,47
L288R,76
L289R,76
L290R,51
L291R,46
L292R,47
L293R,76
L294R,44
L295R,89
L296R,89
L297R,89
L298R,89
L299R,90
L300R,89
L301R,73
L302R,91
L303R,89
L304R,70
L305R,71
L306R,85
L307R,45
L308R,72
L309R,48
L310R,67
L311R,54
L312R,47
L313R,92
L314R,45
L315R,67
L316R,45
L317R,93
L318R,43
L319R,85
L320R,45
L321R,94
L322R,51
L323R,43
L324R,43
L325R,50
L326R,65
L327R,46
L328R,62
L329R,85
L330R,89
L331R,65
L332R,29
L333R,65
L334R,56
L335R,65
L336R,29
L337R,68
L338R,43
L339R,72
L340R,64
L341R,71
L342R,72
L343R,67
L344R,80
L345R,46
L346R,69
L347R,49
L348R,43
L349R,31
L350R,80
L351R,78
L352R,68
L353R,51
L354R,95
L355R,49
L356R,83
L357R,45
L358R,62
L359R,83
L360R,56
L361R,96
L362R,96
L363R,90
L364R,62
L365R,62
L366R,53
L367R,50
L368R,97
L369R,48
L370R,85
L371R,75
L372R,43
L373R,68
L374R,45
L375R,62
L376R,45
L377R,53
L378R,72
L379R,43
L380R,98
L381R,54
L382R,53
L383R,29
L384R,99
L385R,99
L386R,69
L387R,56
L388R,29
L389R,45
L390R,85
L391R,29
L392R,51
L393R,100
L394R,56
L395R,78
L396R,43
L397R,54
L398R,64
L399R,64
L400R,64
L401R,65
L402R,65
L403R,65
L404R,65
L405R,65
L406R,65
L407R,65
L408R,65
L409R,45
L410R,80
L411R,80
L414R,57
L415R,101
L416R,48
L417R,48
L418R,76
L419R,31
L420R,31
L421R,31
L422R,31
L423R,31
L424R,31
L425R,31
L426R,31
L427R,31
L428R,31
L429R,72
L430R,72
L431R,72
L432R,72
L433R,31
L434R,31
L435R,31
L436R,95
L437R,45
L438R,65
L439R,86
L440R,87
L441R,51
L442R,51
L443R,51
L444R,67
L445R,87
L446R,87
L447R,45
L448R,76
L449R,68
L450R,50
L451R,65
L452R,43
L453R,47
L454R,50
L455R,53
L456R,53
L457R,45
L458R,84
L459R,59
L460R,59
L461R,102
L462R,102
L463R,50
L464R,59
L465R,80
L466R,67
L467R,43
L468R,43
L469R,45
L470R,80
L471R,31
L472R,82
L473R,80
L474R,53
L475R,48
L476R,30
L477R,59
L478R,30
L479R,84
L480R,30
L481R,77
L482R,103
L483R,96
L484R,104
L485R,30
L486R,47
L487R,105
L488R,74
L489R,106
L490R,107
L491R,30
L492R,108
L493R,30
L494R,50
L495R,43
L496R,62
L497R,62
L498R,51
L499R,72
L500R,83
L501R,71
L502R,31
L503R,93
L504R,68
L505R,76
L506R,99
L507R,31
L508R,109
L509R,108
L510R,53
L511R,43
L512R,87
L513R,43
L514R,83
L515R,31
L516R,78
L517R,54
L518R,50
L519R,46
L520R,65
L521R,43
L522R,43
L523R,53
L524R,69
L525R,78
L526R,83
L527R,65
L528R,56
L529R,45
L530R,54
L531R,96
L532R,80
L533R,90
L534R,110
L535R,13
L536R,50
L537R,67
L538R,47
L539R,48
L540R,43
L541R,103
L542R,74
L543R,31
L544R,71
L545R,43
L546R,70
L547R,29
L548R,56
L549R,56
L550R,73
L551R,83
L552R,29
L553R,56
L554R,29
L555R,87
L556R,43
L557R,50
L558R,111
L559R,83
L560R,65
L561R,51
L562R,77
L563R,73
L564R,73
L565R,77
L566R,70
L567R,73
L568R,95
L569R,47
L570R,112
L571R,64
L572R,56
L573R,43
L574R,102
L575R,31
L576R,69
L577R,49
L578R,80
L579R,87
L580R,87
L581R,68
L582R,87
L583R,87
L584R,83
L585R,44
L586R,71
L587R,70
L588R,70
L589R,44
L590R,57
L591R,86
L592R,43
L593R,80
L594R,50
L595R,31
L596R,53
L597R,53
L598R,79
L599R,56
L600R,93
L601R,2
L602R,113
L603R,1
L604R,2
L605R,113
L606R,1
L607R,99
L608R,114
L609R,113
L610R,115
L611R,116
L612R,0
L613R,29
L614R,103
L615R,117
L616R,118
L617R,96
L618R,119
L619R,96
L620R,113
L621R,116
L622R,116
L623R,120
L624R,93
L625R,121
L626R,122
L627R,113
L628R,117
L629R,123
L630R,100
L631R,116
L632R,56
L633R,2
L634R,2
L635R,0
L636R,120
L637R,113
L638R,120
L639R,113
L641R,103
L642R,124
L643R,103
L644R,125
L645R,117
L646R,114
L647R,114
L648R,113
L649R,126
L650R,125
L651R,117
L652R,103
L653R,123
L654R,124
L655R,96
L656R,103
L657R,103
L658R,124
L659R,0
L660R,113
L661R,117
L662R,117
L663R,99
L664R,127
L665R,128
L666R,103
L667R,124
L668R,1
L669R,2
L670R,103
L671R,120
L672R,120
L673R,119
L674R,113
L675R,113
L676R,103
L677R,113
L678R,93
L679R,93
L680R,99
L681R,50
L682R,129
L683R,117
L684R,75
L685R,120
L686R,96
L687R,130
L688R,113
L689R,113
L690R,113
L691R,93
L692R,103
L693R,103
L694R,115
L695R,117
L696R,117
L697R,117
L698R,117
L699R,1
L700R,117
L701R,1
L702R,96
L703R,96
L704R,96
L705R,93
L706R,113
L711R,119
L712R,74
L713R,131
L714R,113
L715R,93
L716R,99
L717R,99
L718R,103
L719R,113
L720R,124
L721R,124
L722R,124
L723R,96
L724R,122
L725R,13
L726R,96
L727R,125
L728R,125
L729R,113
L730R,93
L731R,93
L732R,96
L733R,119
L734R,103
L735R,113
L736R,93
L737R,123
L738R,96
L739R,124
L740R,124
L741R,120
L742R,132
L743R,113
L744R,99
L745R,96
L746R,96
L747R,96
L748R,133
L749R,21
L750R,124
L751R,40
L752R,50
L753R,87
L754R,67
L755R,43
L756R,65
L758R,65
L759R,83
L760R,77
L761R,134
L762R,57
L763R,53
L764R,43
L765R,69
L766R,65
L767R,51
L768R,48
L769R,100
L770R,120
L771R,135
L772R,136
L774R,137
L775R,138
L776R,139
L777R,127
L778R,127
L779R,140
L780R,137
L781R,137
L782R,141
L783R,142
L784R,142
L785R,143
L787R,141
L788R,144
L789R,141
L790R,145
L791R,142
L792R,146
L793R,147
L794R,148
L795R,149
L796R,150
L797R,151
L798R,152
L799R,153
L800R,127
L801R,142
L802R,142
L803R,154
L804R,155
L805R,156
L806R,157
L807R,158
L808R,148
L809R,148
L810R,148
L811R,155
L812R,159
L813R,160
L814R,161
L815R,162
L816R,163
L817R,164
L818R,165
L819R,166
L820R,160
L821R,159
L822R,155
L823R,155
L824R,143
L825R,153
L826R,167
L827R,155
L828R,148
L829R,152
L830R,155
L831R,168
L832R,169
L833R,169
L834R,170
L835R,171
L836R,169
L837R,141
L838R,172
L839R,173
L840R,174
L841R,127
L842R,145
L843R,175
L844R,175
L845R,176
L846R,136
L847R,177
L848R,178
L849R,179
L850R,180
L851R,172
L852R,181
L853R,161
L854R,182
L855R,167
L856R,183
L857R,175
L858R,158
L859R,159
L860R,170
L861R,153
L862R,169
L863R,172
L864R,42
L865R,42
L866R,184
L867R,42
L868R,184
L869R,37
L870R,38
L871R,34
L872R,30
L873R,30
L874R,30
L875R,30
L876R,32
L877R,32
L878R,32
L879R,32
L880R,32
L881R,30
L882R,29
L883R,29
L884R,29
L885R,29
L886R,29
L887R,29
L888R,29
L889R,29
L890R,29
L891R,29
L892R,29
L893R,29
L894R,56
L895R,56
L896R,56
L897R,56
L898R,56
L899R,78
L900R,78
L901R,54
L902R,14
L903R,30
L904R,30
L905R,78
L906R,102
L907R,106
L908R,102
L909R,106
L910R,108
L911R,108
L912R,53
L913R,59
L914R,13
L915R,103
L916R,55
L917R,52
L918R,125
L919R,43
L920R,72
L921R,72
L922R,31
L923R,99
L924R,83
L925R,48
L926R,56
L927R,56
L928R,79
L929R,79
L930R,78
L931R,78
L932R,78
L933R,129
L934R,49
L935R,49
L936R,129
L937R,49
L938R,49
L939R,78
L940R,129
L941R,85
L942R,62
L943R,48
L944R,48
L945R,48
L946R,48
L947R,45
L948R,85
L949R,45
L950R,85
L951R,56
L952R,90
L953R,49
L954R,185
L955R,49
L956R,67
L957R,57
L958R,67
L959R,185
L960R,68
L961R,77
L962R,186
L963R,77
L964R,187
L965R,48
L966R,77
L967R,76
L968R,59
L969R,102
L970R,108
L971R,108
L972R,30
L973R,30
L974R,30
L975R,54
L976R,54
L977R,188
L978R,83
L979R,30
L980R,62
L981R,62
L982R,51
L983R,56
L984R,82
L985R,47
L986R,78
L987R,78
L988R,189
L989R,100
L990R,85
L991R,31
L992R,45
L993R,49
L994R,53
L995R,62
L996R,62
L997R,87
L998R,77
L999R,77
